backing_live_bytes,backing_peak_bytes,direct_draw_plan_executions,direction,draw_plan_cache_hits,draw_plans_created,elapsed_total_ms,fixture,frame_time_max_ms,frame_time_min_ms,frame_time_p50_ms,frame_time_p95_ms,frame_time_p99_ms,frames,frames_ge_17_ms,frames_ge_34_ms,full_jpeg_decodes,generic_geometry_draws,image_controls,image_count,image_materializations,image_pipelines,native_geometry_materializations,pass,physical_identity_attempts,physical_identity_fallbacks,physical_identity_hits,physical_variant_hits,physical_variant_lookups,physical_variant_misses,physical_variant_stores,record,resolution,rows,run,screen_spec,scroll_distance,scroll_end,scroll_max,scroll_start,smooth_resample_draws,target_color_attempts,target_color_hits,target_color_materializations,target_color_profile,targeted_jpeg_decodes,tile_logical,ui_build_elapsed_ms,variant_cache_profile,write_pixels_attempts,write_pixels_copied_bytes,write_pixels_fallbacks,write_pixels_hits
940232584,940232584,4509,bottom-to-top,4509,0,9619,ImageScrollRealWorkloadBenchmarkApp,37,32,33,34,35,292,292,24,0,0,663,663,0,0,0,warm,4509,4509,0,4509,4509,0,0,pass,480x720,221,480x720-target-enabled-variant-enabled,480x720x24,34911,0,34911,34911,0,4509,0,0,enabled,0,159,206,enabled,584,0,584,0
940232584,940232584,4509,top-to-bottom,4509,0,9597,ImageScrollRealWorkloadBenchmarkApp,34,32,33,34,34,292,292,17,0,0,663,663,0,0,0,warm2,4509,4509,0,4509,4509,0,0,pass,480x720,221,480x720-target-enabled-variant-enabled,480x720x24,34911,34911,34911,0,0,4509,0,0,enabled,0,159,206,enabled,584,0,584,0
1019597208,1019597208,0,top-to-bottom,5898,669,15733,ImageScrollRealWorkloadBenchmarkApp,372,8,66,69,71,327,216,216,8,0,663,663,663,12,669,cold,5898,5898,0,0,0,0,0,pass,540x960,221,540x960-target-disabled-variant-disabled,540x960x24,39091,39091,39091,0,0,0,0,0,disabled,655,179,210,disabled,6552,0,6552,0
1019597208,1019597208,0,bottom-to-top,5898,0,2725,ImageScrollRealWorkloadBenchmarkApp,9,7,8,9,9,327,0,0,0,0,663,663,0,0,0,warm,5898,5898,0,0,0,0,0,pass,540x960,221,540x960-target-disabled-variant-disabled,540x960x24,39091,0,39091,39091,0,0,0,0,disabled,0,179,210,disabled,6552,0,6552,0
1019597208,1019597208,0,top-to-bottom,5898,0,2725,ImageScrollRealWorkloadBenchmarkApp,10,5,8,9,9,327,0,0,0,0,663,663,0,0,0,warm2,5898,5898,0,0,0,0,0,pass,540x960,221,540x960-target-disabled-variant-disabled,540x960x24,39091,39091,39091,0,0,0,0,0,disabled,0,179,210,disabled,6552,0,6552,0
1019597208,1019597208,5235,top-to-bottom,5898,669,40628,ImageScrollRealWorkloadBenchmarkApp,375,100,105,164,167,327,327,327,8,0,663,663,663,12,669,cold,5898,5898,0,4572,5898,1326,663,pass,540x960,221,540x960-target-disabled-variant-enabled,540x960x24,39091,39091,39091,0,0,0,0,0,disabled,655,179,214,enabled,1317,0,1317,0
1019597208,1019597208,5898,bottom-to-top,5898,0,15641,ImageScrollRealWorkloadBenchmarkApp,50,46,48,49,49,327,327,327,0,0,663,663,0,0,0,warm,5898,5898,0,5898,5898,0,0,pass,540x960,221,540x960-target-disabled-variant-enabled,540x960x24,39091,0,39091,39091,0,0,0,0,disabled,0,179,214,enabled,654,0,654,0
1019597208,1019597208,5898,top-to-bottom,5898,0,15582,ImageScrollRealWorkloadBenchmarkApp,50,46,48,49,49,327,327,327,0,0,663,663,0,0,0,warm2,5898,5898,0,5898,5898,0,0,pass,540x960,221,540x960-target-disabled-variant-enabled,540x960x24,39091,39091,39091,0,0,0,0,0,disabled,0,179,214,enabled,654,0,654,0
1019597208,1019597208,0,top-to-bottom,5898,669,15514,ImageScrollRealWorkloadBenchmarkApp,374,5,66,69,72,327,216,216,8,0,663,663,663,12,669,cold,5898,5898,0,0,0,0,0,pass,540x960,221,540x960-target-enabled-variant-disabled,540x960x24,39091,39091,39091,0,0,5898,0,0,enabled,655,179,214,disabled,6552,0,6552,0
1019597208,1019597208,0,bottom-to-top,5898,0,2572,ImageScrollRealWorkloadBenchmarkApp,14,5,7,11,11,327,0,0,0,0,663,663,0,0,0,warm,5898,5898,0,0,0,0,0,pass,540x960,221,540x960-target-enabled-variant-disabled,540x960x24,39091,0,39091,39091,0,5898,0,0,enabled,0,179,214,disabled,6552,0,6552,0
1019597208,1019597208,0,top-to-bottom,5898,0,2533,ImageScrollRealWorkloadBenchmarkApp,13,5,7,11,11,327,0,0,0,0,663,663,0,0,0,warm2,5898,5898,0,0,0,0,0,pass,540x960,221,540x960-target-enabled-variant-disabled,540x960x24,39091,39091,39091,0,0,5898,0,0,enabled,0,179,214,disabled,6552,0,6552,0
1019597208,1019597208,5235,top-to-bottom,5898,669,41121,ImageScrollRealWorkloadBenchmarkApp,382,102,106,166,168,327,327,327,8,0,663,663,663,12,669,cold,5898,5898,0,4572,5898,1326,663,pass,540x960,221,540x960-target-enabled-variant-enabled,540x960x24,39091,39091,39091,0,0,5898,0,0,enabled,655,179,197,enabled,1317,0,1317,0
1019597208,1019597208,5898,bottom-to-top,5898,0,16089,ImageScrollRealWorkloadBenchmarkApp,56,48,49,50,51,327,327,327,0,0,663,663,0,0,0,warm,5898,5898,0,5898,5898,0,0,pass,540x960,221,540x960-target-enabled-variant-enabled,540x960x24,39091,0,39091,39091,0,5898,0,0,enabled,0,179,197,enabled,654,0,654,0
1019597208,1019597208,5898,top-to-bottom,5898,0,16127,ImageScrollRealWorkloadBenchmarkApp,53,48,49,51,52,327,327,327,0,0,663,663,0,0,0,warm2,5898,5898,0,5898,5898,0,0,pass,540x960,221,540x960-target-enabled-variant-enabled,540x960x24,39091,39091,39091,0,0,5898,0,0,enabled,0,179,197,enabled,654,0,654,0
