backing_live_bytes,backing_peak_bytes,direct_draw_plan_executions,direction,draw_plan_cache_hits,draw_plans_created,elapsed_total_ms,fixture,frame_time_max_ms,frame_time_min_ms,frame_time_p50_ms,frame_time_p95_ms,frame_time_p99_ms,frames,frames_ge_17_ms,frames_ge_34_ms,full_jpeg_decodes,generic_geometry_draws,image_controls,image_count,image_materializations,image_pipelines,native_geometry_materializations,pass,physical_identity_attempts,physical_identity_fallbacks,physical_identity_hits,physical_identity_reject_backing,physical_identity_reject_canvas,physical_identity_reject_clip,physical_identity_reject_execution,physical_identity_reject_mapping,physical_identity_reject_partial,physical_identity_reject_surface,physical_variant_bytes,physical_variant_hits,physical_variant_lookups,physical_variant_misses,physical_variant_stores,record,resolution,rows,run,screen_spec,scroll_distance,scroll_end,scroll_max,scroll_start,smooth_resample_draws,target_color_attempts,target_color_converted_bytes,target_color_hits,target_color_materializations,target_color_profile,targeted_jpeg_decodes,tile_logical,ui_build_elapsed_ms,variant_cache_profile,write_pixels_attempts,write_pixels_copied_bytes,write_pixels_fallbacks,write_pixels_hits
1019597208,1019597208,0,bottom-to-top,5898,0,2725,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,9,327,0,0,0,0,663,663,0,0,0,warm,5898,5898,0,0,0,0,0,5898,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-disabled-variant-disabled,540x960x24,39091,0,39091,39091,0,0,0,0,0,disabled,0,179,199,disabled,6552,0,6552,0
1019597208,1019597208,0,top-to-bottom,5898,0,2725,ImageScrollRealWorkloadBenchmarkApp,9,6,8,9,9,327,0,0,0,0,663,663,0,0,0,warm2,5898,5898,0,0,0,0,0,5898,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-disabled-variant-disabled,540x960x24,39091,39091,39091,0,0,0,0,0,0,disabled,0,179,199,disabled,6552,0,6552,0
1019597208,1019597208,5235,top-to-bottom,5898,669,25994,ImageScrollRealWorkloadBenchmarkApp,359,56,63,117,121,327,327,327,8,0,663,663,663,12,669,cold,5898,5898,0,0,0,0,0,5898,0,0,339890928,4572,5898,1326,663,pass,540x960,221,540x960-target-disabled-variant-enabled,540x960x24,39091,39091,39091,0,0,0,0,0,0,disabled,655,179,204,enabled,6552,2405390544,1317,5235
1019597208,1019597208,5898,bottom-to-top,5898,0,2725,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,10,327,0,0,0,0,663,663,0,0,0,warm,5898,5898,0,0,0,0,0,5898,0,0,0,5898,5898,0,0,pass,540x960,221,540x960-target-disabled-variant-enabled,540x960x24,39091,0,39091,39091,0,0,0,0,0,disabled,0,179,204,enabled,6552,2528436576,654,5898
1019597208,1019597208,5898,top-to-bottom,5898,0,2725,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,9,327,0,0,0,0,663,663,0,0,0,warm2,5898,5898,0,0,0,0,0,5898,0,0,0,5898,5898,0,0,pass,540x960,221,540x960-target-disabled-variant-enabled,540x960x24,39091,39091,39091,0,0,0,0,0,0,disabled,0,179,204,enabled,6552,2528453760,654,5898
1019597208,1019597208,0,top-to-bottom,5898,669,14962,ImageScrollRealWorkloadBenchmarkApp,359,7,62,65,68,327,216,216,8,0,663,663,663,12,669,cold,5898,5898,0,0,0,0,0,5898,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-enabled-variant-disabled,540x960x24,39091,39091,39091,0,0,5898,0,0,0,enabled,655,179,206,disabled,6552,0,6552,0
1019597208,1019597208,0,bottom-to-top,5898,0,2724,ImageScrollRealWorkloadBenchmarkApp,9,7,8,9,9,327,0,0,0,0,663,663,0,0,0,warm,5898,5898,0,0,0,0,0,5898,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-enabled-variant-disabled,540x960x24,39091,0,39091,39091,0,5898,0,0,0,enabled,0,179,206,disabled,6552,0,6552,0
1019597208,1019597208,0,top-to-bottom,5898,0,2725,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,9,327,0,0,0,0,663,663,0,0,0,warm2,5898,5898,0,0,0,0,0,5898,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-enabled-variant-disabled,540x960x24,39091,39091,39091,0,0,5898,0,0,0,enabled,0,179,206,disabled,6552,0,6552,0
1019597208,1019597208,5235,top-to-bottom,5898,669,25991,ImageScrollRealWorkloadBenchmarkApp,360,56,62,117,119,327,327,327,8,0,663,663,663,12,669,cold,5898,5898,0,0,0,0,0,5898,0,0,339890928,4572,5898,1326,663,pass,540x960,221,540x960-target-enabled-variant-enabled,540x960x24,39091,39091,39091,0,0,5898,0,0,0,enabled,655,179,202,enabled,6552,2405390544,1317,5235
1019597208,1019597208,5898,bottom-to-top,5898,0,2729,ImageScrollRealWorkloadBenchmarkApp,11,7,8,9,10,327,0,0,0,0,663,663,0,0,0,warm,5898,5898,0,0,0,0,0,5898,0,0,0,5898,5898,0,0,pass,540x960,221,540x960-target-enabled-variant-enabled,540x960x24,39091,0,39091,39091,0,5898,0,0,0,enabled,0,179,202,enabled,6552,2528436576,654,5898
1019597208,1019597208,5898,top-to-bottom,5898,0,2725,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,9,327,0,0,0,0,663,663,0,0,0,warm2,5898,5898,0,0,0,0,0,5898,0,0,0,5898,5898,0,0,pass,540x960,221,540x960-target-enabled-variant-enabled,540x960x24,39091,39091,39091,0,0,5898,0,0,0,enabled,0,179,202,enabled,6552,2528453760,654,5898
