stage,configuration,sample,sourceCommit,runtimeIdentity,frameCount,callbackCount,frameIntervalP50Ns,frameIntervalP95Ns,frameIntervalP99Ns,frameIntervalMaxNs,activeWorkP50Ns,activeWorkP95Ns,activeWorkP99Ns,activeWorkMaxNs,paintP50Ns,paintP95Ns,paintP99Ns,paintMaxNs,framesOver16_67Count,framesOver20Count,framesOver25Count,framesOver33_3Count,framesOver50Count,framesOver100Count,callbackDeltaP50Ns,callbackDeltaP95Ns,callbackDeltaP99Ns,callbackDeltaMaxNs,callbackAbsoluteLatenessP50Ns,callbackAbsoluteLatenessP95Ns,callbackAbsoluteLatenessP99Ns,callbackAbsoluteLatenessMaxNs,callbackDeltaErrorP50Ns,callbackDeltaErrorP95Ns,callbackDeltaErrorP99Ns,callbackDeltaErrorMaxNs,measuredWallDurationNs,processWallNs,driver,timerFps,clock,timerDeadlinePolicy,eventLoopPolicy,yieldPolicy,prefetchThreadMode,prefetchWorkerSleepMs,expectedCallbackIntervalNs,syntheticPacingProfile,syntheticPacingIntervalNs,sleepRequestCount,totalRequestedSleepNs,totalActualSleepNs,sleepOvershootP50Ns,sleepOvershootP95Ns,sleepOvershootP99Ns,sleepOvershootMaxNs,deadlineErrorP50Ns,deadlineErrorP95Ns,deadlineErrorP99Ns,deadlineErrorMaxNs
2,timer-40-millis,1,697d460ec5c7dc5692459d56348aee4024b08d9f,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,118,118,25240125,26109208,32143959,60944083,3713583,9066625,16203959,44660583,3691458,9016916,16156959,44640042,118,118,91,1,1,0,25240125,26109208,32143959,60944083,55981000,68047875,68657917,68705459,345917,1168709,7143959,35944083,3021975667,18565598167,timer,40,millis,native-relative,timer-events,none,worker-semaphore,0,25000000,,,,,,,,,,,,,
2,timer-40-millis,2,697d460ec5c7dc5692459d56348aee4024b08d9f,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,117,117,25251208,26675042,29209750,78306458,4234125,9913084,13354000,62334291,4216917,9868459,13335792,62317708,117,117,84,1,1,0,25251208,26675042,29209750,78306458,70439208,84378208,84637958,84682333,372542,1675042,4209750,53306458,3014311833,18478951625,timer,40,millis,native-relative,timer-events,none,worker-semaphore,0,25000000,,,,,,,,,,,,,
2,timer-40-millis,3,697d460ec5c7dc5692459d56348aee4024b08d9f,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,119,119,25161542,25927959,29407375,54933958,4103291,8924625,13445958,38893292,4079958,8875833,13428458,38875250,119,119,78,1,1,0,25161542,25927959,29407375,54933958,40907167,48809833,48879208,49021167,308209,944833,4407375,29933958,3030753542,18503034709,timer,40,millis,native-relative,timer-events,none,worker-semaphore,0,25000000,,,,,,,,,,,,,
2,timer-60-millis,4,697d460ec5c7dc5692459d56348aee4024b08d9f,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,145,145,19691250,23682292,37403125,87745958,3578500,8072708,21399459,71407666,3552250,8034292,21374500,71388833,143,52,4,2,1,0,19691250,23682292,37403125,87745958,380181666,660329875,681900541,682915750,3691250,7682292,21403125,71745958,3006174666,18459722125,timer,60,millis,native-relative,timer-events,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
2,timer-60-millis,5,697d460ec5c7dc5692459d56348aee4024b08d9f,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,147,147,19577917,22218667,34858167,94046125,3473750,6029750,18797042,77776500,3457750,5985833,18752875,77749666,143,38,3,2,1,0,19577917,22218667,34858167,94046125,381396167,629612250,646480167,649358167,3577917,6218667,18858167,78046125,3004445417,18497870500,timer,60,millis,native-relative,timer-events,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
2,timer-60-millis,6,697d460ec5c7dc5692459d56348aee4024b08d9f,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,149,149,19568125,22777708,24536917,76950750,3471833,6635250,8459042,61011209,3455208,6590000,8420625,60991167,142,42,1,1,1,0,19568125,22777708,24536917,76950750,330160000,594434250,622033666,625673250,3568125,6777708,8536917,60950750,3014309875,18667886625,timer,60,millis,native-relative,timer-events,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
2,update-millis,7,697d460ec5c7dc5692459d56348aee4024b08d9f,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,142,142,19961125,24068917,31920625,104191875,3854333,7770209,15924458,88166375,3831750,7675292,15902500,88140708,141,70,5,1,1,1,19961125,24068917,31920625,104191875,396674041,716192125,738710875,741920791,3961125,8068917,15920625,88191875,3017028666,18478714208,update,,millis,not-applicable,update-listener,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
2,update-millis,8,697d460ec5c7dc5692459d56348aee4024b08d9f,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,147,147,19514916,23153417,31386708,96277792,3422625,4591417,8356875,81136750,3401958,4568792,8333208,81112958,145,30,5,1,1,0,19514916,23153417,31386708,96277792,382684167,616337750,649403334,653018125,3518584,7153417,15386708,80277792,3008345000,18586103542,update,,millis,not-applicable,update-listener,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
2,update-millis,9,697d460ec5c7dc5692459d56348aee4024b08d9f,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,145,145,19786459,24244833,31124792,47702417,3631458,7624209,11743458,31653708,3611208,7561667,11719083,31607291,144,59,6,1,0,0,19786459,24244833,31124792,47702417,321837291,664586500,685503500,688789166,3791000,8244833,15124792,31702417,3011947833,18502979250,update,,millis,not-applicable,update-listener,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
