stage,configuration,sample,sourceCommit,runtimeIdentity,frameCount,callbackCount,frameIntervalP50Ns,frameIntervalP95Ns,frameIntervalP99Ns,frameIntervalMaxNs,activeWorkP50Ns,activeWorkP95Ns,activeWorkP99Ns,activeWorkMaxNs,paintP50Ns,paintP95Ns,paintP99Ns,paintMaxNs,framesOver16_67Count,framesOver20Count,framesOver25Count,framesOver33_3Count,framesOver50Count,framesOver100Count,callbackDeltaP50Ns,callbackDeltaP95Ns,callbackDeltaP99Ns,callbackDeltaMaxNs,callbackAbsoluteLatenessP50Ns,callbackAbsoluteLatenessP95Ns,callbackAbsoluteLatenessP99Ns,callbackAbsoluteLatenessMaxNs,callbackDeltaErrorP50Ns,callbackDeltaErrorP95Ns,callbackDeltaErrorP99Ns,callbackDeltaErrorMaxNs,measuredWallDurationNs,processWallNs,driver,timerFps,clock,timerDeadlinePolicy,eventLoopPolicy,yieldPolicy,timerDeadlineMode,eventLoopMode,threadYieldMode,prefetchThreadMode,prefetchWorkerSleepMs,expectedCallbackIntervalNs,syntheticPacingProfile,syntheticPacingIntervalNs,sleepRequestCount,totalRequestedSleepNs,totalActualSleepNs,sleepOvershootP50Ns,sleepOvershootP95Ns,sleepOvershootP99Ns,sleepOvershootMaxNs,deadlineErrorP50Ns,deadlineErrorP95Ns,deadlineErrorP99Ns,deadlineErrorMaxNs
5,poll-legacy-yield,1,0ee9086f71956bb992d1e7fe41842d9f80fa46e5,88305c53cc59220680d62cdbcb7ece28e69545306942c6d8df1443984145df5b,147,147,16306041,32124875,32484083,63821333,3797333,8754292,12281625,54735542,3773958,8701375,12227833,54705792,53,47,38,1,1,0,16306041,32124875,32484083,63821333,274641125,621510083,661671708,677742208,443042,16124875,16484083,47821333,3032927541,19511319334,update,,nano,not-applicable,update-listener,none,absolute,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
5,poll-legacy-yield,2,0ee9086f71956bb992d1e7fe41842d9f80fa46e5,88305c53cc59220680d62cdbcb7ece28e69545306942c6d8df1443984145df5b,154,154,16234250,31762708,32125459,96393666,3562291,5042125,8408167,80464500,3530458,5018166,8384667,80421084,50,34,28,1,1,0,16234250,31762708,32125459,96393666,303047125,495860583,536730458,536912542,385459,15762708,16125459,80393666,3004035000,19113426833,update,,nano,not-applicable,update-listener,none,absolute,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
5,poll-legacy-yield,3,0ee9086f71956bb992d1e7fe41842d9f80fa46e5,88305c53cc59220680d62cdbcb7ece28e69545306942c6d8df1443984145df5b,158,158,16189709,31596167,35465167,63992500,3566458,5215834,15187084,53575625,3545791,5193334,15165959,53554708,42,29,27,2,1,0,16189709,31596167,35465167,63992500,199350875,456032625,472864250,473077750,330458,15596167,19465167,47992500,3004088167,19136482708,update,,nano,not-applicable,update-listener,none,absolute,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
5,wait-legacy-yield,4,0ee9086f71956bb992d1e7fe41842d9f80fa46e5,88305c53cc59220680d62cdbcb7ece28e69545306942c6d8df1443984145df5b,143,143,16561750,32087584,32743334,112635584,3870417,6933958,14000291,105688417,3849750,6910000,13974291,105665458,62,44,39,1,1,1,16561750,32087584,32743334,112635584,443298500,691869000,722927542,723859125,634916,16087584,16743334,96635584,3015029542,19027837417,update,,nano,not-applicable,update-listener,none,absolute,wait,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
5,wait-legacy-yield,5,0ee9086f71956bb992d1e7fe41842d9f80fa46e5,88305c53cc59220680d62cdbcb7ece28e69545306942c6d8df1443984145df5b,145,145,16449500,32069000,33257708,95627167,4207709,7159416,14621083,89296000,4174167,7135916,14526208,89279000,61,43,38,1,1,0,16449500,32069000,33257708,95627167,382034625,684859667,693604083,693629375,589917,16069000,17257708,79627167,3017777375,19090751084,update,,nano,not-applicable,update-listener,none,absolute,wait,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
5,wait-legacy-yield,6,0ee9086f71956bb992d1e7fe41842d9f80fa46e5,88305c53cc59220680d62cdbcb7ece28e69545306942c6d8df1443984145df5b,138,138,16659625,32143542,47772250,63717333,3977083,9093625,44489500,53494625,3928750,9038458,44466791,53467292,67,51,47,2,1,0,16659625,32143542,47772250,63717333,379629667,774525792,807341167,823670125,668167,16143542,31772250,47717333,3035045667,19108148583,update,,nano,not-applicable,update-listener,none,absolute,wait,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
5,wait-native-yield,7,0ee9086f71956bb992d1e7fe41842d9f80fa46e5,88305c53cc59220680d62cdbcb7ece28e69545306942c6d8df1443984145df5b,139,139,16584750,32520125,33076750,79361792,3853000,8004583,14258875,65926542,3828584,7941458,14238958,65906167,60,52,45,1,1,0,16584750,32520125,33076750,79361792,478056333,773021750,788950417,805470542,619292,16520125,17076750,63361792,3032639042,19020665875,update,,nano,not-applicable,update-listener,none,absolute,wait,native,worker-semaphore,0,16000000,,,,,,,,,,,,,
5,wait-native-yield,8,0ee9086f71956bb992d1e7fe41842d9f80fa46e5,88305c53cc59220680d62cdbcb7ece28e69545306942c6d8df1443984145df5b,144,144,16565833,31961959,37962250,79613084,3850875,8966792,24247833,74355000,3826791,8936417,24224000,74335375,60,47,39,2,1,0,16565833,31961959,37962250,79613084,407627875,667451542,699445208,699775375,583333,15961959,21962250,63613084,3006696125,19180942916,update,,nano,not-applicable,update-listener,none,absolute,wait,native,worker-semaphore,0,16000000,,,,,,,,,,,,,
5,wait-native-yield,9,0ee9086f71956bb992d1e7fe41842d9f80fa46e5,88305c53cc59220680d62cdbcb7ece28e69545306942c6d8df1443984145df5b,145,145,16471000,32021833,32822083,96565875,4048083,6886333,9007958,80272125,4025041,6832583,8966458,80231042,57,42,40,1,1,0,16471000,32021833,32822083,96565875,379668125,654236041,684977041,685332250,520166,16021833,16822083,80565875,3008365041,19066996041,update,,nano,not-applicable,update-listener,none,absolute,wait,native,worker-semaphore,0,16000000,,,,,,,,,,,,,
