stage,configuration,sample,sourceCommit,runtimeIdentity,frameCount,callbackCount,frameIntervalP50Ns,frameIntervalP95Ns,frameIntervalP99Ns,frameIntervalMaxNs,activeWorkP50Ns,activeWorkP95Ns,activeWorkP99Ns,activeWorkMaxNs,paintP50Ns,paintP95Ns,paintP99Ns,paintMaxNs,framesOver16_67Count,framesOver20Count,framesOver25Count,framesOver33_3Count,framesOver50Count,framesOver100Count,callbackDeltaP50Ns,callbackDeltaP95Ns,callbackDeltaP99Ns,callbackDeltaMaxNs,callbackAbsoluteLatenessP50Ns,callbackAbsoluteLatenessP95Ns,callbackAbsoluteLatenessP99Ns,callbackAbsoluteLatenessMaxNs,callbackDeltaErrorP50Ns,callbackDeltaErrorP95Ns,callbackDeltaErrorP99Ns,callbackDeltaErrorMaxNs,measuredWallDurationNs,processWallNs,driver,timerFps,clock,timerDeadlinePolicy,eventLoopPolicy,yieldPolicy,prefetchThreadMode,prefetchWorkerSleepMs,expectedCallbackIntervalNs,syntheticPacingProfile,syntheticPacingIntervalNs,sleepRequestCount,totalRequestedSleepNs,totalActualSleepNs,sleepOvershootP50Ns,sleepOvershootP95Ns,sleepOvershootP99Ns,sleepOvershootMaxNs,deadlineErrorP50Ns,deadlineErrorP95Ns,deadlineErrorP99Ns,deadlineErrorMaxNs
1,synthetic-current-16ms,1,fab38b8e08dd2148be8bd74db70414a6970af421,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,189,0,15961375,16892542,17208625,19329542,3687292,5732792,15106166,19326000,3638208,5666208,14972333,19281125,21,0,0,0,0,0,,,,,,,,,,,,,3012058750,18626123125,synthetic,,monotonic,absolute-from-start,benchmark-loop,none,worker-semaphore,0,,synthetic-current-16ms,16000000,552,1988000000,2239537423,509292,527375,535750,759208,883167,1391459,2177459,4340084
1,synthetic-current-16ms,2,fab38b8e08dd2148be8bd74db70414a6970af421,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,189,0,15981084,16767667,37709459,78732375,3822334,5669667,37705083,78727708,3771750,5596750,37659625,78681250,15,2,2,2,1,0,,,,,,,,,,,,,3012148666,18494745500,synthetic,,monotonic,absolute-from-start,benchmark-loop,none,worker-semaphore,0,,synthetic-current-16ms,16000000,532,1887000000,2124330916,509167,527959,536791,545042,874583,2076458,63155000,72757625
1,synthetic-current-16ms,3,fab38b8e08dd2148be8bd74db70414a6970af421,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,189,0,15887917,16930417,35079541,70712000,3549250,5288292,35067875,70708084,3499500,5226834,35022208,70664750,28,2,2,2,1,0,,,,,,,,,,,,,3013017125,18536543209,synthetic,,monotonic,absolute-from-start,benchmark-loop,none,worker-semaphore,0,,synthetic-current-16ms,16000000,533,1946000000,2189635834,510125,527042,533250,542042,864250,1482791,49616541,55144625
1,synthetic-60hz,4,fab38b8e08dd2148be8bd74db70414a6970af421,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,181,0,16706292,17412333,22503750,37711334,3613458,4229500,22498416,37706125,3569750,4158500,22450917,37657833,95,2,1,1,0,0,,,,,,,,,,,,,3005469917,18429156292,synthetic,,monotonic,absolute-from-start,benchmark-loop,none,worker-semaphore,0,,synthetic-60hz,16666667,526,2019000000,2266328451,509791,527000,535417,542167,870357,1455986,8843623,21492749
1,synthetic-60hz,5,fab38b8e08dd2148be8bd74db70414a6970af421,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,181,0,16772834,17449667,22468459,80367750,3870083,6676834,22463834,80362750,3821542,6634125,22420750,80296833,100,2,1,1,1,0,,,,,,,,,,,,,3004499417,18484105917,synthetic,,monotonic,absolute-from-start,benchmark-loop,none,worker-semaphore,0,,synthetic-60hz,16666667,506,1895000000,2133978294,513250,530084,538958,565458,941000,1509959,64022790,69824582
1,synthetic-60hz,6,fab38b8e08dd2148be8bd74db70414a6970af421,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,181,0,16834042,17420083,18866875,26657583,3468125,4282334,10496042,26651917,3425166,4233500,10389917,26597375,112,1,1,0,0,0,,,,,,,,,,,,,3004221541,18498668667,synthetic,,monotonic,absolute-from-start,benchmark-loop,none,worker-semaphore,0,,synthetic-60hz,16666667,534,2062000000,2314457758,510042,527500,532333,538667,912692,1457375,2642554,11314832
